scenario,seed,policy,variant,at_risk_orders,at_risk_amount,at_risk_recovered_orders,at_risk_recovered_amount,at_risk_recovery_rate,at_risk_messages,at_risk_link_orders,at_risk_steer_orders,at_risk_organic_orders,eligible_orders,eligible_amount,recovered_orders,recovered_amount,recovery_rate,link_orders,steer_orders,organic_orders,messages_sent,links_created,opt_outs,escalations,incidents,actions_refused,policy_violations,time_to_detect_minutes,stream_digest
S2,3,agent,peak,160,31192171,96,18259633,0.600000,86,18,55,23,1622,301774009,568,109969505,0.350185,22,55,491,95,57,2,0,1,45,0,8.0,5f82a86d8649d28a83dba5d6bbde2c2a405d454d585748b79cb1c9b48f1e6024
S2,4,B0,peak,171,28877350,22,3432217,0.128655,0,0,0,22,1633,289472806,471,90067206,0.288426,0,0,471,0,0,0,0,1,0,0,8.0,47a8fadb09cd0e442a231d3991b279cebb6bb2a359c9d89cf834ce9a90801279
S2,4,B1,peak,171,28877350,44,7570601,0.257310,102,22,0,22,1633,289472806,896,169866549,0.548683,453,0,443,962,962,29,0,1,562,0,8.0,47a8fadb09cd0e442a231d3991b279cebb6bb2a359c9d89cf834ce9a90801279
S2,4,B2,peak,171,28877350,46,7819116,0.269006,167,24,0,22,1633,289472806,888,169016171,0.543784,432,0,456,1200,806,25,0,1,551,0,8.0,47a8fadb09cd0e442a231d3991b279cebb6bb2a359c9d89cf834ce9a90801279
S2,4,agent,peak,171,28877350,74,12508784,0.432749,48,7,52,15,1633,289472806,528,99782634,0.323331,8,56,464,50,30,1,0,1,2,0,8.0,47a8fadb09cd0e442a231d3991b279cebb6bb2a359c9d89cf834ce9a90801279
S2,5,B0,peak,133,23584696,25,5090271,0.187970,0,0,0,25,1578,266696749,510,94743967,0.323194,0,0,510,0,0,0,0,1,0,0,5.0,1a2611f73760203f0c5ec97587c4f543183b142128a54ed2ad8d10703251530f
S2,5,B1,peak,133,23584696,32,6719307,0.240602,76,7,0,25,1578,266696749,901,159046239,0.570976,423,0,478,904,904,22,0,1,570,0,5.0,1a2611f73760203f0c5ec97587c4f543183b142128a54ed2ad8d10703251530f
S2,5,B2,peak,133,23584696,42,7990204,0.315789,115,17,0,25,1578,266696749,890,159446752,0.564005,391,0,499,1089,723,26,0,1,517,0,5.0,1a2611f73760203f0c5ec97587c4f543183b142128a54ed2ad8d10703251530f
S2,5,agent,peak,133,23584696,69,12916156,0.518797,26,6,44,19,1578,266696749,556,102882883,0.352345,8,44,504,32,20,0,0,1,0,0,5.0,1a2611f73760203f0c5ec97587c4f543183b142128a54ed2ad8d10703251530f
S2,6,B0,peak,149,22737252,28,3793802,0.187919,0,0,0,28,1623,238368344,482,72984577,0.296981,0,0,482,0,0,0,0,1,0,0,6.0,c7328916510b1b243ae236da33992167fca9f181b25ba186298b062746301f52
S2,6,B1,peak,149,22737252,39,5379936,0.261745,80,13,0,26,1623,238368344,892,129425205,0.549600,437,0,455,954,954,27,0,1,557,0,6.0,c7328916510b1b243ae236da33992167fca9f181b25ba186298b062746301f52
S2,6,B2,peak,149,22737252,44,6503087,0.295302,119,16,0,28,1623,238368344,873,128851968,0.537893,403,0,470,1178,791,31,0,1,547,0,6.0,c7328916510b1b243ae236da33992167fca9f181b25ba186298b062746301f52
